authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham",,52842,"T. D. A.",Cockerell,,,,1908,"Some results of the Florissant expedition of 1908","The American Naturalist",,42,,569,581,"journal article","stated with evidence",English,,,,,"2014-09-20 16:21:07","2014-09-20 16:21:07"
"M. Clapham","M. Clapham",,52843,"T. D. A.",Cockerell,,,,1908,"A dragon-fly puzzle and its solution","Entomological News",,19,,455,459,"journal article","stated with evidence",English,,,,,"2014-09-20 16:35:01","2014-09-20 16:35:01"
"A. Behrensmeyer","A. Behrensmeyer","M. Clapham",4997,"T. D. A.",Cockerell,,,,1909,"Descriptions of Tertiary Insects, VI","American Journal of Science, Series 4",,27,161,381,387,"journal article","stated without evidence",English,,"ETE reference number 709",ETE,709,"2002-03-04 16:40:45","2012-01-04 22:00:39"
"C. Labandeira","C. Labandeira","M. Clapham",5029,"T. D. A.",Cockerell,,,,1909,"Descriptions of Tertiary insects, part V","American Journal of Science, Fourth Series",,27,,53,58,"journal article","stated without evidence",English,,"ETE reference number 741",ETE,741,"2002-03-04 16:40:45","2013-02-24 23:51:04"
"C. Labandeira","C. Labandeira","M. Clapham",5032,"T. D. A.",Cockerell,,,,1909,"Eocene fossils from Green River, Wyoming","American Journal of Science, Series 4",,28,,447,448,"journal article","stated with evidence",English,,"ETE reference number 744",ETE,744,"2002-03-04 16:40:45","2013-10-05 22:56:35"
"C. Labandeira","C. Labandeira","J. Alroy",5033,"T. D. A.",Cockerell,,,,1909,"Fossil insects from Colorado","The Entomologist",,42,554,170,174,"journal article","stated with evidence",English,,"ETE reference number 745",ETE,745,"2002-03-04 16:40:45","2011-03-18 03:28:30"
"C. Labandeira","C. Labandeira","M. Clapham",5034,"T. D. A.",Cockerell,,,,1909,"Fossil Insects from Florissant, Colorado","Bulletin of the American Museum of Natural History",,26,,67,77,"journal article","stated with evidence",English,,"ETE reference number 746",ETE,746,"2002-03-04 16:40:45","2014-09-20 17:47:21"
"C. Labandeira","C. Labandeira","M. Clapham",5035,"T. D. A.",Cockerell,,,,1909,"Two Fossil Chrysopidae","The Canadian Entomologist",,41,,218,219,"journal article","stated without evidence",English,,"ETE reference number 747",ETE,747,"2002-03-04 16:40:45","2012-01-04 21:28:23"
"M. Clapham","M. Clapham",,39939,"T. D. A.",Cockerell,,,,1909,"Description of Tertiary insects, VII","American Journal of Science, Series 4",,28,,283,286,"journal article","stated with evidence",English,,,,,"2012-02-05 13:36:52","2012-02-04 20:36:52"
"M. Clapham","M. Clapham",,45170,"T. D. A.",Cockerell,,,,1909,"Fossil Diptera from Florissant, Colorado","Bulletin of the American Museum of Natural History",,26,,9,12,"journal article","stated with evidence",English,,,,,"2013-02-25 16:37:52","2013-02-24 23:37:52"
"M. Clapham","M. Clapham",,45223,"T. D. A.",Cockerell,,,,1910,"Fossil insects and a crustacean from Florissant, Colorado","Bulletin of the American Museum of Natural History",,28,,275,288,"journal article","stated with evidence",English,,,,,"2013-02-28 15:13:27","2013-02-27 22:13:27"
"M. Clapham","M. Clapham",,49100,"T. D. A.",Cockerell,,,,1910,"The fossil Crabronidae","The Entomologist",,43,,60,61,"journal article","stated with evidence",English,,,,,"2013-11-24 19:48:02","2013-11-24 19:48:02"
"C. Labandeira","C. Labandeira","M. Clapham",4998,"T. D. A.",Cockerell,,,,1911,"Fossil Insects from Florissant, Colorado","Bulletin American Museum of Natural History",,30,,71,82,"journal article","stated with evidence",English,,"ETE reference number 710",ETE,710,"2002-03-04 16:40:45","2014-09-20 17:47:30"
"M. Clapham","M. Clapham",,49167,"T. D. A.",Cockerell,,,,1911,"Descriptions and records of bees - XXXIV","The Annals and Magazine of Natural History, Eighth Series",,7,2,225,237,"journal article","stated without evidence",English,,,,,"2013-11-27 21:48:47","2013-11-27 21:48:47"
"C. Labandeira","C. Labandeira","M. Clapham",5037,"T. D. A.",Cockerell,,,,1913,"Some fossil insects from Florissant, Colorado","The Canadian Entomologist",,45,,229,233,"journal article","stated without evidence",English,,"ETE reference number 749",ETE,749,"2002-03-04 16:40:45","2014-09-20 17:47:38"
